SpriteName	Zh-Hans
Mecha2_Color	机械 2
Six	数字 6
PointHand	指人手
HairClip8_Color	发夹 8
FaceFeatureB1	脸部特征 B 1
Pigtail_B2_Gradient	头发 马尾 20
Main8_Color	服装 里侧 8
Tear2_Color	眼睛 眼泪 2
Eye3_Dark	眼睛 虹膜深色 3
Outer4_Outline	服装 外侧 轮廓 4
Glasses_Lens1	眼镜 Lens 1
WingA3_Outline	翅膀 轮廓 3
Ahoge_B2_Color	头发呆毛6
CapeFront1_Outline	披风 前 | 披风 轮廓 1
Cake	蛋糕
WingD1_Color	翅膀 6
Pigtail_B1_Gradient	头发 马尾 18
Outer7_Color	服装 外侧 7
Ahoge_B1_Outline	头发呆毛轮廓 5
HornM1_Outline	角 前 >< 轮廓 1
HornF2_Color	角 前 2
CapeFront4_Color	披风 前 4
FrameHair_Branch_A3_Color	头发 分叉 3
Main2_Outline	服装 里侧 轮廓 2
Wing1_Outline	翅膀耳朵 轮廓 1
WingD2_Upper_Outline	翅膀 轮廓 7 .1
Mecha4_Color	机械 4
Horn1_Outline	角 轮廓 1
WingA2_Color	翅膀 2
EasterEggBasket	复活节 4
Mecha4_Outline	机械 轮廓 4
Antenna2_Color	触角 2
Mecha1_Color	机械 1
Ahoge_A3_Outline	头发呆毛轮廓 3
Main1_Outline	服装 里侧 轮廓 1
Horn2_Color	角 2
HairBang4_Middle_Gradient	头发 刘海 >< 8
CapeFront3_Color	披风 前 3
Notepad	记事本
Outer5_Color	服装 外侧 5
WingA3_Color	翅膀 3
WingB1_Color	翅膀 4
Pistol	枪
Horn7_Color	角 7
Bottle	摇可乐
Outer6_Color	服装 外侧 6
Laugh2	表情贴纸 笑 2
FrameHair_B1_Gradient	头发 脸颊 24
Outer5_Outline	服装 外侧 轮廓 5
FrameHair_Top_Outline	头发 脸颊 top 轮廓
WingG1_Inner_Color	翅膀 10 .2
HairBang5_Middle_Outline	头发 刘海 >< 轮廓 9 + 10
Beer	干杯
HairBang4_Middle_Color	头发 刘海 >< 7
TailE1_Outline	尾巴 轮廓 12
TailC2_Color	尾巴 9
HornF2_Outline	角 轮廓 9
